year,category,term,date,kickoffdate,homeTeam,score,awayTeam,stadiumName,visitors,other,homeTeamId,awayTeamId,competitionName,jLeagueCompetitionId,competitionId
2026,3,第３節第１日,2026/02/21,2026-02-21T14:00:00+09:00,長野,vs,札幌,長野Ｕ,,ＤＡＺＮ,274,14,明治安田J2・J3百年構想 EAST-Bグループ,36,36-E-B
2026,2,第３節第１日,2026/02/21,2026-02-21T14:00:00+09:00,磐田,vs,松本,ヤマハ,,ＤＡＺＮ,13,46,明治安田J2・J3百年構想 EAST-Bグループ,36,36-E-B
2026,2,第３節第１日,2026/02/21,2026-02-21T14:00:00+09:00,藤枝,vs,甲府,藤枝サ,,ＤＡＺＮ,276,28,明治安田J2・J3百年構想 EAST-Bグループ,36,36-E-B
2026,3,第３節第１日,2026/02/21,2026-02-21T14:00:00+09:00,奈良,vs,愛媛,ロートＦ,,ＤＡＺＮ,391,37,明治安田J2・J3百年構想 WEST-Aグループ,36,36-W-A
2026,3,第３節第１日,2026/02/21,2026-02-21T14:00:00+09:00,宮崎,vs,鳥栖,いちご,,ＤＡＺＮ,371,33,明治安田J2・J3百年構想 WEST-Bグループ,36,36-W-B
2026,3,第３節第１日,2026/02/21,2026-02-21T14:00:00+09:00,琉球,vs,滋賀,沖縄県陸,,ＤＡＺＮ,277,495,明治安田J2・J3百年構想 WEST-Bグループ,36,36-W-B
2026,1,第３節第２日,2026/02/22,2026-02-22T14:00:00+09:00,水戸,vs,千葉,Ｋｓスタ,,ＤＡＺＮ,94,2,明治安田J1百年構想 EASTグループ,35,35-E
2026,1,第３節第２日,2026/02/22,2026-02-22T14:00:00+09:00,京都,vs,福岡,サンガＳ,,ＤＡＺＮ,24,23,明治安田J1百年構想 WESTグループ,35,35-W
2026,1,第３節第２日,2026/02/22,2026-02-22T14:00:00+09:00,岡山,vs,G大阪,ＪＦＥス,,ＤＡＺＮ,42,9,明治安田J1百年構想 WESTグループ,35,35-W
2026,1,第３節第２日,2026/02/22,2026-02-22T15:00:00+09:00,C大阪,vs,広島,ヨドコウ,,ＤＡＺＮ,20,10,明治安田J1百年構想 WESTグループ,35,35-W
2026,3,第３節第２日,2026/02/22,2026-02-22T14:00:00+09:00,栃木SC,vs,仙台,カンセキ,,ＤＡＺＮ,40,54,明治安田J2・J3百年構想 EAST-Aグループ,36,36-E-A
